Car Make,Car Model,Year,Battery_Type,Price_USD,Country
Faraday Future,FF 91,2022,Nickel-cobalt-aluminum,59459.42,Portugal
Nissan,Ariya,2020,Nickel-metal hydride,135638.4,Portugal
Lamborghini,Revuelto (PHEV),2022,Flow batteries,56591.57,Belgium
Lamborghini,Lanzador (upcoming EV),2020,Lithium-titanate,116554.12,Canada
Jeep,Wagoneer S,2016,Calcium-ion,31697.8,Italy
Tesla,Cybertruck,2019,Nickel-manganese-cobalt,60297.41,Canada
Ford,E-Transit,2016,Lithium-iron phosphate,124888.9,South Africa
GMC,Hummer EV Pickup,2024,Lithium-titanate,61757.54,Netherlands
Cadillac,Celestiq,2019,Lithium-ion,84483.76,Austria
Maserati,Grecale Folgore,2025,Nickel-metal hydride,49910.73,Ireland
XPeng,G9,2023,Lead-acid,118144.07,Spain
Citroen,Ami,2019,Zinc-air,108181.14,Norway
Li Auto,L9,2020,Flow batteries,89456.28,Thailand
Jaguar,I-PACE,2023,Calcium-ion,52509.9,Finland
Volkswagen,ID.5,2022,Aluminum-ion,103064.6,Netherlands
Jaguar,I-PACE,2022,Aluminum-ion,87899.95,Belgium
Toyota,Lexus RZ,2020,Aluminum-ion,65826.7,Israel
Lamborghini,Lanzador (upcoming EV),2022,Aluminum-ion,58027.49,Indonesia
VinFast,VF 7,2022,Lithium-ion,134902.84,France
Great Wall Motors,ORA Lightning Cat,2020,Zinc-air,132280.96,Saudi Arabia
GMC,Hummer EV Pickup,2018,Flow batteries,82076.58,France
Mazda,Mazda EV (upcoming models),2020,Nickel-cobalt-aluminum,125102.34,Norway
Ford,F-150 Lightning,2022,Flow batteries,85830.39,Saudi Arabia
Honda,Honda Prologue,2019,Lithium-iron phosphate,75763.72,Singapore
Tesla,Cybertruck,2025,Magnesium-ion,138352.19,Austria
Kia,Soul EV,2019,Magnesium-ion,40816.01,Hungary
Toyota,bZ4X,2019,Aluminum-ion,70645.83,Australia
BYD,Han EV,2021,Lithium-ion,119881.39,Israel
GMC,Hummer EV SUV,2024,Lithium-iron phosphate,66262.82,Canada
Polestar,Polestar 3,2021,Nickel-manganese-cobalt,117191.9,France
Geely,Geometry C,2018,Calcium-ion,147341.1,South Korea
Rivian,EDV (Electric Delivery Van),2025,Zinc-air,45110.87,Switzerland
Opel,Corsa-e,2024,Lithium-ion,125821.66,Germany
Porsche,Panamera EV,2015,Nickel-metal hydride,87149.52,Argentina
VinFast,VFe34 (discontinued),2019,Nickel-manganese-cobalt,131675.83,France
Audi,e-tron GT,2019,Zinc-air,101687.02,Australia
Rivian,R1S,2022,Aluminum-ion,117553.5,Vietnam
Hyundai,Kona Electric,2021,Solid-state,100375.81,UAE
Cadillac,Celestiq,2020,Solid-state,56909.38,Brazil
Opel,Grandland Electric,2024,Flow batteries,62792.45,Poland
Ford,Mustang Mach-E,2016,Lithium-titanate,48889.11,Hungary
BMW,iX3,2016,Lithium-sulfur,79702.05,Turkey
Lotus,Evija,2019,Lithium-ion,66170.32,Italy
Volkswagen,ID.6,2023,Lithium-titanate,133411.72,Vietnam
XPeng,P5,2019,Solid-state,143713.72,Argentina
Hyundai,Ioniq 7 (upcoming),2019,Lithium-titanate,105986.96,Turkey
Kia,Niro EV,2019,Lithium-iron phosphate,122741.77,Australia
Rimac,Nevera,2022,Solid-state,100970.37,Turkey
Audi,e-tron,2024,Zinc-air,127177.91,Denmark
Dacia,Jogger Hybrid,2023,Flow batteries,92888.23,Netherlands
VinFast,VF 8,2016,Sodium-ion,116848.04,Ireland
Seat,Avenger,2017,Zinc-air,107219.19,Italy
BYD,Han EV,2020,Lithium-sulfur,88352.51,Italy
Mini,Mini Cooper SE,2024,Nickel-metal hydride,113141.48,Netherlands
Mazda,Mazda EV (upcoming models),2018,Lead-acid,53281.94,Singapore
Mercedes-Benz,EQB,2024,Nickel-metal hydride,96544.89,South Africa
Zeekr,Zeekr 001,2018,Calcium-ion,77574.48,Belgium
Genesis,GV80 Electric,2017,Nickel-metal hydride,46655.12,New Zealand
Lamborghini,Lanzador (upcoming EV),2016,Magnesium-ion,80379.07,Finland
MG,MG4 Electric,2017,Lithium-sulfur,79988.11,UK
Nissan,Ariya,2022,Lithium-ion,72851.27,Brazil
Chevrolet,Volt (PHEV),2023,Sodium-ion,87423.74,Italy
VinFast,VF 7,2015,Sodium-ion,95163.68,Japan
Jaguar,I-PACE,2021,Aluminum-ion,52418.07,Russia
Zeekr,Zeekr X,2023,Lithium-sulfur,66779.5,Vietnam
Zeekr,Zeekr 009,2025,Magnesium-ion,126131.52,Netherlands
Audi,e-tron GT,2025,Sodium-ion,111487.45,Argentina
Toyota,bZ4X,2016,Lithium-ion,44131.32,Spain
Volkswagen,ID.2all,2016,Nickel-manganese-cobalt,127261.59,Hungary
Dacia,Jogger Hybrid,2020,Lead-acid,89282.63,UAE
Subaru,Solterra,2022,Lead-acid,68043.32,Malaysia
Opel,Corsa-e,2021,Lead-acid,66494.95,Hungary
Lucid Motors,Lucid DreamDrive,2023,Lithium-sulfur,50236.31,Sweden
Hyundai,Kona Electric,2025,Magnesium-ion,79990.41,Germany
Faraday Future,FF 91,2019,Nickel-manganese-cobalt,88110.14,Mexico
Citroen,?-Spacetourer,2023,Lead-acid,83951.52,France
Canoo,Pickup,2024,Lithium-titanate,91766.98,Poland
Fisker,Ocean,2015,Lithium-sulfur,30981.29,Vietnam
XPeng,P7,2024,Lead-acid,90510.66,UAE
VinFast,VF 8,2023,Sodium-ion,35436.4,Mexico
GMC,Hummer EV SUV,2017,Nickel-cobalt-aluminum,90877.8,Saudi Arabia
Jaguar,I-PACE,2024,Lithium-sulfur,61863.65,Israel
Canoo,MPDV,2018,Lithium-ion,82924.63,Sweden
Volkswagen,ID.7,2018,Lead-acid,67650.31,Australia
Great Wall Motors,ORA Good Cat,2018,Lithium-sulfur,114588.11,Russia
Jaguar,I-PACE,2021,Calcium-ion,64515.64,UK
Toyota,Lexus UX 300e,2019,Nickel-metal hydride,110380.08,Austria
Opel,Corsa-e,2015,Lead-acid,135677.69,New Zealand
Maserati,Grecale Folgore,2017,Nickel-cobalt-aluminum,77639.35,Norway
Kia,EV6,2019,Nickel-manganese-cobalt,46103.99,Australia
Porsche,Taycan,2020,Magnesium-ion,132737.58,Vietnam
Rimac,Nevera,2015,Lithium-sulfur,66233.5,Singapore
Subaru,Solterra,2021,Flow batteries,106645.36,Argentina
Li Auto,MEGA,2023,Magnesium-ion,101497.74,UK
BMW,iX1,2023,Lithium-iron phosphate,92440.98,Switzerland
MG,MG ES5,2022,Zinc-air,77513.85,USA
BMW,i3,2022,Lithium-ion,147399.99,Indonesia
Skoda,Elroq (upcoming),2023,Nickel-metal hydride,94471.02,Italy
Renault,Kangoo E-Tech,2023,Nickel-cobalt-aluminum,63077.97,Canada
Audi,e-tron,2024,Lithium-ion,35308.41,Austria
Ferrari,Ferrari EV (2025+),2025,Calcium-ion,92550.13,Poland
Mahindra,XUV400,2020,Flow batteries,78991.1,India
BMW,iX1,2021,Nickel-cobalt-aluminum,54400.41,UK
NIO,ET5,2016,Lithium-iron phosphate,134336.86,Poland
Citroen,?-Spacetourer,2018,Lithium-titanate,96249.52,Czech Republic
Changan,SL03,2022,Magnesium-ion,79671.62,Austria
Ford,F-150 Lightning,2020,Lithium-iron phosphate,108552.96,Mexico
Renault,Scenic E-Tech,2017,Nickel-metal hydride,95056.42,South Korea
Acura,ZDX (with GM Ultium),2016,Lithium-titanate,104140.23,Finland
Tesla,Model S,2023,Lithium-titanate,127578.87,Vietnam
Lucid Motors,Lucid DreamDrive,2023,Lithium-sulfur,145115.74,Singapore
XPeng,P5,2021,Lead-acid,39922.33,Vietnam
Volvo,C40 Recharge,2024,Nickel-manganese-cobalt,63644.76,Singapore
Citroen,Ami,2021,Aluminum-ion,131933.09,Saudi Arabia
Peugeot,e-3008,2015,Solid-state,122280.68,Thailand
Fisker,Pear (upcoming),2021,Nickel-metal hydride,104233.91,Belgium
NIO,ES8,2020,Solid-state,121361.58,Italy
Nissan,Leaf,2020,Lead-acid,31480.87,India
Mercedes-Benz,EQS SUV,2017,Nickel-metal hydride,50064.89,Indonesia
GMC,Hummer EV Pickup,2022,Solid-state,104423.06,Mexico
Rimac,Nevera,2022,Sodium-ion,113394.93,Singapore
Ferrari,SF90 Stradale (PHEV),2024,Lead-acid,85394.67,Switzerland
Mahindra,XUV400,2025,Lithium-sulfur,124689.21,Malaysia
Chevrolet,Volt (PHEV),2023,Zinc-air,108912.2,Netherlands
VinFast,VF 9,2016,Lithium-ion,76936.1,Israel
Li Auto,L7,2016,Calcium-ion,84639.92,South Africa
Subaru,Solterra,2016,Lithium-ion,49722.49,Belgium
Acura,ZDX (with GM Ultium),2017,Flow batteries,135971.68,Israel
Kia,Niro EV,2020,Sodium-ion,88738.08,Hungary
Porsche,Panamera EV,2024,Zinc-air,66645.6,Argentina
Porsche,Cayenne Electric (upcoming),2025,Lead-acid,88757.04,Norway
Lucid Motors,Lucid Gravity,2023,Lead-acid,130787.02,Netherlands
Volvo,EX30,2017,Magnesium-ion,43585.32,Portugal
Rivian,R1S,2016,Lithium-titanate,149917.52,Spain
Jeep,Wagoneer S,2024,Flow batteries,127623.58,South Korea
Ferrari,Roma PHEV,2023,Aluminum-ion,124282.93,Portugal
Citroen,Ami,2021,Nickel-manganese-cobalt,75020.68,UK
Rimac,Nevera,2016,Lithium-titanate,125481.35,Switzerland
Ferrari,SF90 Stradale (PHEV),2024,Calcium-ion,105141.54,Australia
Lucid Motors,Lucid DreamDrive,2017,Aluminum-ion,73252.25,Argentina
Genesis,GV60,2016,Lithium-ion,92333.31,USA
Audi,e-tron GT,2021,Solid-state,135718.68,India
Tesla,Cybertruck,2025,Nickel-metal hydride,48164.9,Finland
NIO,ES8,2021,Sodium-ion,59780.04,Ireland
Lotus,Evija,2023,Lithium-iron phosphate,125253.36,Russia
Rimac,Nevera,2021,Calcium-ion,50732.44,China
MG,MG5 EV,2025,Lithium-titanate,39891.34,Saudi Arabia
Maserati,GranTurismo Folgore,2021,Zinc-air,82498.33,Belgium
Subaru,Solterra,2016,Lithium-ion,144361.94,South Africa
Jaguar,I-PACE,2020,Magnesium-ion,147006.07,China
Mercedes-Benz,EQA,2016,Aluminum-ion,91058.99,USA
Faraday Future,FF 91,2018,Sodium-ion,39346.45,Canada
Changan,Deepal S07,2019,Sodium-ion,64991.41,Poland
Maserati,Grecale Folgore,2017,Lithium-ion,106313.02,USA
Rivian,EDV (Electric Delivery Van),2018,Nickel-cobalt-aluminum,41163.2,South Africa
Volkswagen,ID.Buzz,2021,Solid-state,45684.99,Spain
Volvo,XC40 Recharge,2018,Nickel-metal hydride,49725,Hungary
Honda,e:Ny1,2016,Nickel-metal hydride,132788.79,UK
Canoo,Lifestyle Vehicle,2015,Nickel-cobalt-aluminum,42228.88,Italy
Canoo,Pickup,2020,Flow batteries,61058.48,China
Faraday Future,FF 91,2016,Lithium-ion,81978.77,Thailand
Toyota,Lexus RZ,2017,Lithium-ion,89866.99,New Zealand
Acura,ZDX (with GM Ultium),2021,Magnesium-ion,97878.13,India
Lotus,Emeya,2024,Lithium-iron phosphate,61983.24,South Korea
Porsche,Macan EV,2024,Sodium-ion,33384.79,Brazil
Porsche,Cayenne Electric (upcoming),2015,Solid-state,87358.68,Finland
Ford,F-150 Lightning,2016,Calcium-ion,143030.79,Israel
Mahindra,Born Electric (upcoming range),2017,Lithium-titanate,100674.02,India
Opel,Grandland Electric,2015,Nickel-metal hydride,42493.23,Sweden
Mini,Mini Aceman,2020,Nickel-manganese-cobalt,72057.74,France
NIO,ES8,2023,Nickel-cobalt-aluminum,38845.13,Japan
Mercedes-Benz,EQS,2023,Aluminum-ion,81758.8,Netherlands
Seat,Avenger,2025,Lithium-sulfur,95959.52,Sweden
Lucid Motors,Lucid Air,2015,Lithium-iron phosphate,43861.07,Thailand
NIO,ES8,2017,Nickel-manganese-cobalt,130449.45,South Korea
Li Auto,L8,2023,Lithium-ion,112448.15,Singapore
Ferrari,Ferrari EV (2025+),2024,Flow batteries,83884.77,Switzerland
Canoo,MPDV,2017,Calcium-ion,96763.7,Hungary
VinFast,VF 9,2016,Nickel-cobalt-aluminum,97522.05,Czech Republic
Cadillac,Celestiq,2015,Nickel-metal hydride,136748.91,Belgium
Canoo,Pickup,2019,Lithium-sulfur,57354.89,Malaysia
Geely,Geometry A,2021,Lithium-titanate,91832.36,China
Porsche,Macan EV,2018,Calcium-ion,73245.01,Portugal
BYD,Dolphin,2024,Nickel-manganese-cobalt,71971.19,Spain
Ferrari,SF90 Stradale (PHEV),2018,Flow batteries,91593.75,USA
Cadillac,Celestiq,2025,Lithium-sulfur,56185.09,South Africa
Genesis,GV80 Electric,2019,Flow batteries,106871.37,Spain
XPeng,G9,2025,Nickel-metal hydride,61131.15,Thailand
Dacia,Jogger Hybrid,2025,Lead-acid,131450.31,UAE
Skoda,Enyaq Coupe,2025,Solid-state,136421.23,Spain
GMC,Hummer EV Pickup,2022,Aluminum-ion,79572.87,Sweden
Rimac,Nevera,2016,Nickel-manganese-cobalt,30565.62,Switzerland
Zeekr,Zeekr 007,2021,Nickel-cobalt-aluminum,53929.71,USA
Seat,Avenger,2019,Nickel-metal hydride,128861.26,Czech Republic
Mahindra,Born Electric (upcoming range),2018,Nickel-metal hydride,56918.56,Switzerland
Acura,ZDX (with GM Ultium),2023,Zinc-air,32369.01,Canada
Seat,Avenger,2019,Nickel-cobalt-aluminum,114087.16,France
Cadillac,Lyriq,2019,Calcium-ion,65442.14,UAE
Mini,Mini Electric,2016,Calcium-ion,123543.15,France
BMW,i3,2017,Calcium-ion,67524.85,Canada
Genesis,GV70 Electric,2020,Sodium-ion,41154.16,Mexico
Genesis,GV70 Electric,2016,Nickel-metal hydride,139347.21,Singapore
Renault,5 E-Tech,2022,Aluminum-ion,37600.33,Hungary
Ferrari,SF90 Stradale (PHEV),2025,Calcium-ion,117198.24,Brazil
Genesis,GV70 Electric,2023,Calcium-ion,88997.76,Mexico
Hyundai,Ioniq 7 (upcoming),2022,Magnesium-ion,44244.82,Germany
GMC,Hummer EV SUV,2023,Lead-acid,73601.1,Austria
Geely,Geometry A,2016,Magnesium-ion,106039.34,Czech Republic
Volkswagen,ID.2all,2021,Solid-state,132263.32,Australia
Skoda,Elroq (upcoming),2016,Magnesium-ion,30520.52,South Korea
Jeep,Grand Cherokee 4xe (PHEV),2017,Solid-state,76159.52,Belgium
Cadillac,Optiq (upcoming),2023,Lithium-sulfur,142261.45,Switzerland
Genesis,GV70 Electric,2023,Lead-acid,97473.63,Singapore
Faraday Future,FF 91,2023,Solid-state,53988.29,Netherlands
Citroen,Ami,2015,Sodium-ion,97352.47,Turkey
VinFast,VF 8,2023,Lithium-ion,123710.99,Austria
Cadillac,Lyriq,2018,Lithium-sulfur,50855.42,Canada
Tesla,Model X,2022,Lithium-titanate,101625.64,Finland
Rimac,Nevera,2017,Lead-acid,94444.31,Brazil
Lotus,Emeya,2023,Calcium-ion,71520.87,Finland
NIO,ES7,2023,Lithium-titanate,91048.27,Japan
Maserati,Grecale Folgore,2025,Solid-state,80905.13,Switzerland
Skoda,Enyaq,2015,Nickel-manganese-cobalt,51359.06,UAE
Acura,ZDX (with GM Ultium),2021,Sodium-ion,106970.73,China
Mazda,Mazda EV (upcoming models),2024,Solid-state,128654.68,New Zealand
Ford,E-Transit,2025,Aluminum-ion,31338.02,Sweden
Subaru,Solterra,2020,Lithium-iron phosphate,56494.56,Spain
Genesis,GV60,2019,Flow batteries,88462.85,Brazil
Rimac,Nevera,2022,Sodium-ion,73739.21,Vietnam
BYD,Tang EV,2025,Lithium-titanate,122972.04,UAE
Maserati,Grecale Folgore,2019,Lithium-titanate,131950.47,Germany
Maserati,GranTurismo Folgore,2025,Magnesium-ion,100752.09,Czech Republic
Tesla,Roadster (upcoming),2018,Calcium-ion,46844.48,Norway
Chevrolet,Bolt EUV,2022,Lithium-iron phosphate,54812.89,Argentina
Dacia,Bigster EV (upcoming),2019,Zinc-air,73835.61,China
Mahindra,Born Electric (upcoming range),2024,Lithium-ion,39250.59,Portugal
Faraday Future,FF 91,2016,Nickel-manganese-cobalt,107671.11,Germany
Ferrari,SF90 Stradale (PHEV),2015,Nickel-metal hydride,97632.56,Czech Republic
Li Auto,L8,2024,Calcium-ion,112270.94,Ireland
MG,MG ES5,2017,Zinc-air,93771.59,Canada
Genesis,G80 Electric,2023,Nickel-cobalt-aluminum,126276.02,India
Volkswagen,ID.5,2022,Magnesium-ion,135211.96,Spain
Lotus,Eletre,2021,Flow batteries,42789.99,Israel
Li Auto,MEGA,2017,Sodium-ion,99318.14,Thailand
Rivian,EDV (Electric Delivery Van),2021,Magnesium-ion,145748.43,UK
BYD,Han EV,2024,Lithium-ion,92520.67,Ireland
Lucid Motors,Lucid DreamDrive,2023,Lithium-sulfur,110882.93,Belgium
XPeng,P5,2024,Lithium-iron phosphate,95951.12,UAE
Changan,Deepal S07,2024,Lithium-ion,90380.3,Canada
Geely,Geometry C,2024,Nickel-manganese-cobalt,85061.81,Israel
Seat,Avenger,2020,Nickel-cobalt-aluminum,61601.96,UK
Rimac,Nevera,2018,Aluminum-ion,53959.98,Belgium
Opel,Corsa-e,2016,Aluminum-ion,121709.31,Japan
Porsche,Panamera EV,2021,Lithium-iron phosphate,80781.1,Japan
Lotus,Emeya,2020,Lithium-titanate,42089.74,Finland
Porsche,Cayenne Electric (upcoming),2021,Lithium-iron phosphate,78071.11,Norway
Lamborghini,Lanzador (upcoming EV),2021,Lithium-iron phosphate,31169.07,Russia
Subaru,Solterra,2023,Calcium-ion,37204.37,Spain
Lamborghini,Lanzador (upcoming EV),2020,Lithium-ion,107983.86,Norway
NIO,ES7,2022,Flow batteries,141428,Finland
Mazda,Mazda EV (upcoming models),2024,Flow batteries,142652.38,Israel
Polestar,Polestar 4,2016,Lithium-iron phosphate,135442.92,South Korea
GMC,Hummer EV Pickup,2016,Flow batteries,118511.19,Italy
Great Wall Motors,ORA Lightning Cat,2023,Aluminum-ion,113714.75,Israel
Acura,ZDX (with GM Ultium),2020,Nickel-manganese-cobalt,73894,Sweden
Great Wall Motors,ORA Ballet Cat,2015,Lithium-titanate,121904.3,Czech Republic
Polestar,Polestar 3,2025,Nickel-cobalt-aluminum,105038.76,Finland
Lucid Motors,Lucid Air,2017,Nickel-metal hydride,62656.1,Russia
Mazda,Mazda EV (upcoming models),2017,Lithium-titanate,31766.98,Mexico
Citroen,?-C4,2015,Lithium-sulfur,137483.88,India
Peugeot,e-208,2018,Nickel-manganese-cobalt,111773.08,Hungary
Great Wall Motors,ORA Ballet Cat,2019,Lithium-iron phosphate,58315.9,Hungary
Chevrolet,Equinox EV,2022,Lithium-titanate,89990.3,Finland
Volkswagen,ID.6,2018,Sodium-ion,82646.27,Germany
Geely,Emgrand EV,2019,Lead-acid,68841.71,Portugal
Geely,Geometry C,2019,Lead-acid,135951.88,Argentina
Lucid Motors,Lucid DreamDrive,2025,Nickel-manganese-cobalt,106908.47,France
Kia,EV9,2018,Solid-state,93098.56,Israel
Mahindra,XUV400,2022,Magnesium-ion,125309.95,Finland
Kia,Soul EV,2018,Lead-acid,143700.4,UAE
Mini,Mini Cooper SE,2016,Nickel-metal hydride,108903.83,Ireland
Citroen,Ami,2021,Calcium-ion,55671.38,UAE
Chevrolet,Volt (PHEV),2024,Lithium-ion,148127.33,Hungary
Lamborghini,Revuelto (PHEV),2016,Lithium-ion,136755.04,Austria
Rimac,Nevera,2017,Nickel-manganese-cobalt,66047.19,Singapore
Opel,Corsa-e,2025,Calcium-ion,92926,Saudi Arabia
Citroen,Ami,2024,Lead-acid,47761.49,UK
Zeekr,Zeekr X,2017,Nickel-manganese-cobalt,53531.92,South Africa
Jaguar,I-PACE,2021,Sodium-ion,32904.82,Netherlands
Chevrolet,Bolt EUV,2018,Flow batteries,36544.56,Sweden
Great Wall Motors,ORA Good Cat,2020,Lithium-iron phosphate,120042.62,New Zealand
Lotus,Eletre,2019,Nickel-metal hydride,108570.94,China
Mazda,Mazda EV (upcoming models),2018,Nickel-cobalt-aluminum,88159.46,Saudi Arabia
Polestar,Polestar 4,2020,Nickel-manganese-cobalt,72229.57,Poland
Canoo,Lifestyle Vehicle,2023,Lithium-sulfur,40535.4,South Africa
Ford,Explorer EV (Europe),2019,Aluminum-ion,46629.18,Denmark
Genesis,GV70 Electric,2020,Solid-state,130742.7,Germany
Opel,Corsa-e,2016,Nickel-metal hydride,103483.44,Austria
Cadillac,Celestiq,2025,Sodium-ion,49654.37,Japan
Audi,e-tron GT,2022,Calcium-ion,136510.43,Thailand
Peugeot,e-208,2023,Solid-state,59486.6,Thailand
Mazda,Mazda EV (upcoming models),2021,Aluminum-ion,80695.46,South Korea
Porsche,Macan EV,2021,Nickel-cobalt-aluminum,137594.1,Australia
Renault,Megane E-Tech,2016,Solid-state,114873.49,Turkey
Mini,Mini Electric,2017,Calcium-ion,67142.2,Malaysia
Citroen,?-Spacetourer,2015,Nickel-manganese-cobalt,89216.02,Israel
Polestar,Polestar 4,2024,Flow batteries,47790.74,Brazil
Hyundai,Kona Electric,2016,Nickel-cobalt-aluminum,112981.63,Singapore
Opel,Mokka-e,2020,Sodium-ion,131197.16,Czech Republic
Rivian,EDV (Electric Delivery Van),2018,Zinc-air,112638.51,Czech Republic
GMC,Hummer EV SUV,2023,Lithium-titanate,57926.6,Denmark
Li Auto,MEGA,2015,Sodium-ion,54142.46,Spain
Pininfarina,Battista,2021,Lithium-titanate,53281.87,Mexico
Ford,Explorer EV (Europe),2023,Aluminum-ion,36722.67,Poland
Pininfarina,Battista,2016,Nickel-metal hydride,105181.3,Netherlands
Chevrolet,Volt (PHEV),2021,Solid-state,144087.21,South Africa
Geely,Emgrand EV,2015,Magnesium-ion,140836.41,South Africa
Renault,Megane E-Tech,2022,Nickel-cobalt-aluminum,141880.48,Ireland
Peugeot,e-3008,2015,Zinc-air,53105.48,Saudi Arabia
Tesla,Cybertruck,2023,Lead-acid,62526.25,Czech Republic
BMW,iX,2015,Nickel-manganese-cobalt,40334.35,Norway
Pininfarina,Battista,2025,Magnesium-ion,41149.94,Australia
Volvo,C40 Recharge,2024,Lithium-sulfur,109821.67,Hungary
Mazda,Mazda EV (upcoming models),2024,Zinc-air,125610.93,UAE
Polestar,Polestar 3,2022,Nickel-cobalt-aluminum,82242.44,Mexico
Jaguar,I-PACE,2020,Lead-acid,78695.24,France
Rivian,R1T,2024,Aluminum-ion,109305.77,Saudi Arabia
Ferrari,Ferrari EV (2025+),2019,Aluminum-ion,99927.24,Turkey
Tesla,Roadster (upcoming),2023,Calcium-ion,58228.94,Israel
Mini,Mini Electric,2022,Nickel-metal hydride,48512.07,Italy
Zeekr,Zeekr X,2016,Nickel-metal hydride,113446.86,Finland
Porsche,Cayenne Electric (upcoming),2024,Lithium-ion,62310.05,Singapore
Seat,Avenger,2017,Lithium-titanate,39388.15,UK
Subaru,Solterra,2020,Lead-acid,86307.89,Mexico
Subaru,Solterra,2015,Flow batteries,65010.39,Finland
Volkswagen,ID.7,2019,Lithium-sulfur,139215.78,Sweden
Porsche,Taycan,2020,Solid-state,120331.36,India
Genesis,GV80 Electric,2016,Lithium-ion,119538.07,Saudi Arabia
Tesla,Model X,2022,Nickel-cobalt-aluminum,93755.2,Vietnam
Genesis,G80 Electric,2022,Magnesium-ion,111326.18,Hungary
Lotus,Eletre,2025,Nickel-manganese-cobalt,34085.01,UK
Jaguar,I-PACE,2016,Calcium-ion,113478.44,Czech Republic
Mini,Mini Cooper SE,2019,Nickel-metal hydride,69918.57,Spain
XPeng,G6,2025,Nickel-manganese-cobalt,107200.58,Spain
Mahindra,XUV400,2025,Flow batteries,114006.62,Singapore
Renault,Megane E-Tech,2023,Lithium-iron phosphate,94236.49,Mexico
Maserati,GranTurismo Folgore,2016,Calcium-ion,51194.2,India
Hyundai,Ioniq 7 (upcoming),2018,Nickel-metal hydride,37559.12,Poland
Pininfarina,Battista,2021,Solid-state,134424,Sweden
Genesis,GV60,2022,Aluminum-ion,45664.53,South Korea
Jaguar,I-PACE,2024,Magnesium-ion,127382.52,Thailand
Porsche,Panamera EV,2016,Solid-state,74391.28,Malaysia
Nissan,Ariya,2016,Lithium-ion,101247.66,Indonesia
Geely,Geometry C,2018,Nickel-metal hydride,103445.98,Poland
BYD,Atto 3,2023,Lithium-iron phosphate,53246.28,Sweden
BYD,Seal,2018,Nickel-cobalt-aluminum,118850.03,Norway
Jeep,Wagoneer S,2021,Lithium-iron phosphate,43215.94,France
Jeep,Recon (upcoming),2015,Aluminum-ion,74818.21,Denmark
Toyota,bZ4X,2016,Calcium-ion,56382.43,Ireland
Hyundai,Ioniq 7 (upcoming),2023,Nickel-manganese-cobalt,63500.51,Vietnam
Ferrari,SF90 Stradale (PHEV),2021,Lithium-ion,77318.42,France
Volkswagen,ID.5,2019,Lithium-iron phosphate,66580.39,Australia
XPeng,G6,2020,Flow batteries,38483.83,Mexico
VinFast,VF 7,2025,Solid-state,139200.49,South Korea
